what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1252081320644
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1252081320646
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1252081320661
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1252081320681
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1252081320772
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1252081323836
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1252081323864
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1252081323884
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081329340
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081358982
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081370176
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1252081428228
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081428247
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081430783
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.edit.text.openLocalFile",1252081436580
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081436585
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081449379
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1252081452354
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1252081452383
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081466696
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081467835
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081468094
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252081473752
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1252081474606
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1252081474607
